interacting_pair	gene_a	gene_b	tissue	region
COL3A1_ADGRG1	COL3A1	ADGRG1	large_intestine	HBM942.WHFC.488_reg001
GAST_ADGRG1	GAST	ADGRG1	large_intestine	HBM942.WHFC.488_reg001
COL4A1_ADGRG6	COL4A1	ADGRG6	large_intestine	HBM942.WHFC.488_reg001
COL4A2_ADGRG6	COL4A2	ADGRG6	large_intestine	HBM942.WHFC.488_reg001
COL4A3_ADGRG6	COL4A3	ADGRG6	large_intestine	HBM942.WHFC.488_reg001
COL4A4_ADGRG6	COL4A4	ADGRG6	large_intestine	HBM942.WHFC.488_reg001
COL4A5_ADGRG6	COL4A5	ADGRG6	large_intestine	HBM942.WHFC.488_reg001
COL4A6_ADGRG6	COL4A6	ADGRG6	large_intestine	HBM942.WHFC.488_reg001
DSC2_DSG2	DSC2	DSG2	large_intestine	HBM942.WHFC.488_reg001
DSG1_DSC2	DSG1	DSC2	large_intestine	HBM942.WHFC.488_reg001
DSG1_DSC3	DSG1	DSC3	large_intestine	HBM942.WHFC.488_reg001
DSG2_DSC3	DSG2	DSC3	large_intestine	HBM942.WHFC.488_reg001
CLSTN1_NRXN3	CLSTN1	NRXN3	large_intestine	HBM942.WHFC.488_reg001
CLSTN2_NRXN3	CLSTN2	NRXN3	large_intestine	HBM942.WHFC.488_reg001
CLSTN3_NRXN3	CLSTN3	NRXN3	large_intestine	HBM942.WHFC.488_reg001
LRRTM1_NRXN3	LRRTM1	NRXN3	large_intestine	HBM942.WHFC.488_reg001
LRRTM2_NRXN3	LRRTM2	NRXN3	large_intestine	HBM942.WHFC.488_reg001
LRRTM3_NRXN3	LRRTM3	NRXN3	large_intestine	HBM942.WHFC.488_reg001
LRRTM4_NRXN3	LRRTM4	NRXN3	large_intestine	HBM942.WHFC.488_reg001
NLGN1_NRXN3	NLGN1	NRXN3	large_intestine	HBM942.WHFC.488_reg001
NLGN2_NRXN3	NLGN2	NRXN3	large_intestine	HBM942.WHFC.488_reg001
NLGN3_NRXN3	NLGN3	NRXN3	large_intestine	HBM942.WHFC.488_reg001
NLGN4X_NRXN3	NLGN4X	NRXN3	large_intestine	HBM942.WHFC.488_reg001
GJA1_GJA1	GJA1	GJA1	large_intestine	HBM942.WHFC.488_reg001
GJC1_GJA1	GJC1	GJA1	large_intestine	HBM942.WHFC.488_reg001
GJC1_GJC1	GJC1	GJC1	large_intestine	HBM942.WHFC.488_reg001
ICAM1_ITGAL	ICAM1	ITGAL	large_intestine	HBM942.WHFC.488_reg001
ICAM1_SPN	ICAM1	SPN	large_intestine	HBM942.WHFC.488_reg001
ICAM3_CLEC4M	ICAM3	CLEC4M	large_intestine	HBM942.WHFC.488_reg001
JAM2_JAM3	JAM2	JAM3	large_intestine	HBM942.WHFC.488_reg001
JAM3_JAM3	JAM3	JAM3	large_intestine	HBM942.WHFC.488_reg001
L1CAM_L1CAM	L1CAM	L1CAM	large_intestine	HBM942.WHFC.488_reg001
NECTIN1_CADM3	NECTIN1	CADM3	large_intestine	HBM942.WHFC.488_reg001
NECTIN1_NECTIN4	NECTIN1	NECTIN4	large_intestine	HBM942.WHFC.488_reg001
NECTIN2_TIGIT	NECTIN2	TIGIT	large_intestine	HBM942.WHFC.488_reg001
NECTIN3_TIGIT	NECTIN3	TIGIT	large_intestine	HBM942.WHFC.488_reg001
PVR_TIGIT	PVR	TIGIT	large_intestine	HBM942.WHFC.488_reg001
THBS1_CD36	THBS1	CD36	large_intestine	HBM942.WHFC.488_reg001
THBS2_CD36	THBS2	CD36	large_intestine	HBM942.WHFC.488_reg001
ENTPD1_ADORA1	ENTPD1	ADORA1	large_intestine	HBM942.WHFC.488_reg001
ENTPD1_ADORA2A	ENTPD1	ADORA2A	large_intestine	HBM942.WHFC.488_reg001
ENTPD1_ADORA2B	ENTPD1	ADORA2B	large_intestine	HBM942.WHFC.488_reg001
ADM_RAMP3	ADM	RAMP3	large_intestine	HBM942.WHFC.488_reg001
ASIP_MC1R	ASIP	MC1R	large_intestine	HBM942.WHFC.488_reg001
POMC_MC1R	POMC	MC1R	large_intestine	HBM942.WHFC.488_reg001
AGRN_PTPRS	AGRN	PTPRS	large_intestine	HBM942.WHFC.488_reg001
LRRC4B_PTPRS	LRRC4B	PTPRS	large_intestine	HBM942.WHFC.488_reg001
LRFN4_PTPRS	LRFN4	PTPRS	large_intestine	HBM942.WHFC.488_reg001
LRFN5_PTPRS	LRFN5	PTPRS	large_intestine	HBM942.WHFC.488_reg001
LRRTM4_PTPRS	LRRTM4	PTPRS	large_intestine	HBM942.WHFC.488_reg001
SLITRK1_PTPRS	SLITRK1	PTPRS	large_intestine	HBM942.WHFC.488_reg001
SLITRK2_PTPRS	SLITRK2	PTPRS	large_intestine	HBM942.WHFC.488_reg001
SLITRK4_PTPRS	SLITRK4	PTPRS	large_intestine	HBM942.WHFC.488_reg001
SLITRK5_PTPRS	SLITRK5	PTPRS	large_intestine	HBM942.WHFC.488_reg001
SLITRK6_PTPRS	SLITRK6	PTPRS	large_intestine	HBM942.WHFC.488_reg001
IAPP_CALCR	IAPP	CALCR	large_intestine	HBM942.WHFC.488_reg001
CALCB_CALCR	CALCB	CALCR	large_intestine	HBM942.WHFC.488_reg001
APP_CD74	APP	CD74	large_intestine	HBM942.WHFC.488_reg001
APP_FPR2	APP	FPR2	large_intestine	HBM942.WHFC.488_reg001
ANXA1_FPR2	ANXA1	FPR2	large_intestine	HBM942.WHFC.488_reg001
CCL23_FPR2	CCL23	FPR2	large_intestine	HBM942.WHFC.488_reg001
TAFA5_FPR2	TAFA5	FPR2	large_intestine	HBM942.WHFC.488_reg001
APP_PLXNA4	APP	PLXNA4	large_intestine	HBM942.WHFC.488_reg001
APLP2_PLXNA4	APLP2	PLXNA4	large_intestine	HBM942.WHFC.488_reg001
APP_SORL1	APP	SORL1	large_intestine	HBM942.WHFC.488_reg001
APP_TNFRSF21	APP	TNFRSF21	large_intestine	HBM942.WHFC.488_reg001
APLP2_PIGR	APLP2	PIGR	large_intestine	HBM942.WHFC.488_reg001
ANGPT1_TEK	ANGPT1	TEK	large_intestine	HBM942.WHFC.488_reg001
ANGPT2_TEK	ANGPT2	TEK	large_intestine	HBM942.WHFC.488_reg001
AGT_AGTR1	AGT	AGTR1	large_intestine	HBM942.WHFC.488_reg001
ANXA1_FPR1	ANXA1	FPR1	large_intestine	HBM942.WHFC.488_reg001
ANXA1_FPR3	ANXA1	FPR3	large_intestine	HBM942.WHFC.488_reg001
APELA_APLNR	APELA	APLNR	large_intestine	HBM942.WHFC.488_reg001
APLN_APLNR	APLN	APLNR	large_intestine	HBM942.WHFC.488_reg001
APOA1_ABCA1	APOA1	ABCA1	large_intestine	HBM942.WHFC.488_reg001
APOB_APOBR	APOB	APOBR	large_intestine	HBM942.WHFC.488_reg001
NGF_NGFR	NGF	NGFR	large_intestine	HBM942.WHFC.488_reg001
BDNF_NGFR	BDNF	NGFR	large_intestine	HBM942.WHFC.488_reg001
NTF3_NGFR	NTF3	NGFR	large_intestine	HBM942.WHFC.488_reg001
NTF4_NGFR	NTF4	NGFR	large_intestine	HBM942.WHFC.488_reg001
NGF_NTRK1	NGF	NTRK1	large_intestine	HBM942.WHFC.488_reg001
NTF3_NTRK1	NTF3	NTRK1	large_intestine	HBM942.WHFC.488_reg001
NGF_SORT1	NGF	SORT1	large_intestine	HBM942.WHFC.488_reg001
BDNF_SORT1	BDNF	SORT1	large_intestine	HBM942.WHFC.488_reg001
BDNF_NTRK2	BDNF	NTRK2	large_intestine	HBM942.WHFC.488_reg001
NTN4_NTRK2	NTN4	NTRK2	large_intestine	HBM942.WHFC.488_reg001
NTF3_NTRK2	NTF3	NTRK2	large_intestine	HBM942.WHFC.488_reg001
NTF4_NTRK2	NTF4	NTRK2	large_intestine	HBM942.WHFC.488_reg001
CLSTN1_NRXN1	CLSTN1	NRXN1	large_intestine	HBM942.WHFC.488_reg001
CLSTN2_NRXN1	CLSTN2	NRXN1	large_intestine	HBM942.WHFC.488_reg001
CLSTN3_NRXN1	CLSTN3	NRXN1	large_intestine	HBM942.WHFC.488_reg001
LRRTM1_NRXN1	LRRTM1	NRXN1	large_intestine	HBM942.WHFC.488_reg001
LRRTM2_NRXN1	LRRTM2	NRXN1	large_intestine	HBM942.WHFC.488_reg001
LRRTM3_NRXN1	LRRTM3	NRXN1	large_intestine	HBM942.WHFC.488_reg001
LRRTM4_NRXN1	LRRTM4	NRXN1	large_intestine	HBM942.WHFC.488_reg001
NLGN1_NRXN1	NLGN1	NRXN1	large_intestine	HBM942.WHFC.488_reg001
NLGN2_NRXN1	NLGN2	NRXN1	large_intestine	HBM942.WHFC.488_reg001
NLGN3_NRXN1	NLGN3	NRXN1	large_intestine	HBM942.WHFC.488_reg001
NLGN4X_NRXN1	NLGN4X	NRXN1	large_intestine	HBM942.WHFC.488_reg001
NLGN4Y_NRXN1	NLGN4Y	NRXN1	large_intestine	HBM942.WHFC.488_reg001
CLSTN1_NRXN2	CLSTN1	NRXN2	large_intestine	HBM942.WHFC.488_reg001
CLSTN2_NRXN2	CLSTN2	NRXN2	large_intestine	HBM942.WHFC.488_reg001
CLSTN3_NRXN2	CLSTN3	NRXN2	large_intestine	HBM942.WHFC.488_reg001
LRRTM1_NRXN2	LRRTM1	NRXN2	large_intestine	HBM942.WHFC.488_reg001
LRRTM2_NRXN2	LRRTM2	NRXN2	large_intestine	HBM942.WHFC.488_reg001
LRRTM3_NRXN2	LRRTM3	NRXN2	large_intestine	HBM942.WHFC.488_reg001
LRRTM4_NRXN2	LRRTM4	NRXN2	large_intestine	HBM942.WHFC.488_reg001
NLGN1_NRXN2	NLGN1	NRXN2	large_intestine	HBM942.WHFC.488_reg001
NLGN2_NRXN2	NLGN2	NRXN2	large_intestine	HBM942.WHFC.488_reg001
NLGN3_NRXN2	NLGN3	NRXN2	large_intestine	HBM942.WHFC.488_reg001
NLGN4X_NRXN2	NLGN4X	NRXN2	large_intestine	HBM942.WHFC.488_reg001
NLGN4Y_NRXN2	NLGN4Y	NRXN2	large_intestine	HBM942.WHFC.488_reg001
CCL11_ACKR2	CCL11	ACKR2	large_intestine	HBM942.WHFC.488_reg001
CCL13_ACKR2	CCL13	ACKR2	large_intestine	HBM942.WHFC.488_reg001
CCL14_ACKR2	CCL14	ACKR2	large_intestine	HBM942.WHFC.488_reg001
CCL2_ACKR2	CCL2	ACKR2	large_intestine	HBM942.WHFC.488_reg001
CCL3_ACKR2	CCL3	ACKR2	large_intestine	HBM942.WHFC.488_reg001
CCL4_ACKR2	CCL4	ACKR2	large_intestine	HBM942.WHFC.488_reg001
CCL5_ACKR2	CCL5	ACKR2	large_intestine	HBM942.WHFC.488_reg001
CCL7_ACKR2	CCL7	ACKR2	large_intestine	HBM942.WHFC.488_reg001
CCL8_ACKR2	CCL8	ACKR2	large_intestine	HBM942.WHFC.488_reg001
CCL11_DPP4	CCL11	DPP4	large_intestine	HBM942.WHFC.488_reg001
CCL22_DPP4	CCL22	DPP4	large_intestine	HBM942.WHFC.488_reg001
CXCL11_DPP4	CXCL11	DPP4	large_intestine	HBM942.WHFC.488_reg001
CXCL12_DPP4	CXCL12	DPP4	large_intestine	HBM942.WHFC.488_reg001
CXCL2_DPP4	CXCL2	DPP4	large_intestine	HBM942.WHFC.488_reg001
CCL13_CCR2	CCL13	CCR2	large_intestine	HBM942.WHFC.488_reg001
CCL16_CCR2	CCL16	CCR2	large_intestine	HBM942.WHFC.488_reg001
CCL2_CCR2	CCL2	CCR2	large_intestine	HBM942.WHFC.488_reg001
CCL26_CCR2	CCL26	CCR2	large_intestine	HBM942.WHFC.488_reg001
CCL7_CCR2	CCL7	CCR2	large_intestine	HBM942.WHFC.488_reg001
CCL8_CCR2	CCL8	CCR2	large_intestine	HBM942.WHFC.488_reg001
CCL14_CCR1	CCL14	CCR1	large_intestine	HBM942.WHFC.488_reg001
CCL15_CCR1	CCL15	CCR1	large_intestine	HBM942.WHFC.488_reg001
CCL16_CCR1	CCL16	CCR1	large_intestine	HBM942.WHFC.488_reg001
CCL23_CCR1	CCL23	CCR1	large_intestine	HBM942.WHFC.488_reg001
CCL26_CCR1	CCL26	CCR1	large_intestine	HBM942.WHFC.488_reg001
CCL3_CCR1	CCL3	CCR1	large_intestine	HBM942.WHFC.488_reg001
CCL5_CCR1	CCL5	CCR1	large_intestine	HBM942.WHFC.488_reg001
CCL7_CCR1	CCL7	CCR1	large_intestine	HBM942.WHFC.488_reg001
CCL8_CCR1	CCL8	CCR1	large_intestine	HBM942.WHFC.488_reg001
CCL16_HRH4	CCL16	HRH4	large_intestine	HBM942.WHFC.488_reg001
CCL22_CCR4	CCL22	CCR4	large_intestine	HBM942.WHFC.488_reg001
CCL5_CCR4	CCL5	CCR4	large_intestine	HBM942.WHFC.488_reg001
CCL19_ACKR4	CCL19	ACKR4	large_intestine	HBM942.WHFC.488_reg001
CCL21_ACKR4	CCL21	ACKR4	large_intestine	HBM942.WHFC.488_reg001
CCL25_ACKR4	CCL25	ACKR4	large_intestine	HBM942.WHFC.488_reg001
CCL19_CCR7	CCL19	CCR7	large_intestine	HBM942.WHFC.488_reg001
CCL21_CCR7	CCL21	CCR7	large_intestine	HBM942.WHFC.488_reg001
CCL19_CCRL2	CCL19	CCRL2	large_intestine	HBM942.WHFC.488_reg001
RARRES2_CCRL2	RARRES2	CCRL2	large_intestine	HBM942.WHFC.488_reg001
CCL2_ACKR1	CCL2	ACKR1	large_intestine	HBM942.WHFC.488_reg001
CCL5_ACKR1	CCL5	ACKR1	large_intestine	HBM942.WHFC.488_reg001
CXCL1_ACKR1	CXCL1	ACKR1	large_intestine	HBM942.WHFC.488_reg001
CXCL8_ACKR1	CXCL8	ACKR1	large_intestine	HBM942.WHFC.488_reg001
CCL20_CCR6	CCL20	CCR6	large_intestine	HBM942.WHFC.488_reg001
CCL25_CCR9	CCL25	CCR9	large_intestine	HBM942.WHFC.488_reg001
CCL28_CCR10	CCL28	CCR10	large_intestine	HBM942.WHFC.488_reg001
CCL3_CCR5	CCL3	CCR5	large_intestine	HBM942.WHFC.488_reg001
CCL4_CCR5	CCL4	CCR5	large_intestine	HBM942.WHFC.488_reg001
CCL5_CCR5	CCL5	CCR5	large_intestine	HBM942.WHFC.488_reg001
CCL7_CCR5	CCL7	CCR5	large_intestine	HBM942.WHFC.488_reg001
CCL8_CCR5	CCL8	CCR5	large_intestine	HBM942.WHFC.488_reg001
CCL5_GPR75	CCL5	GPR75	large_intestine	HBM942.WHFC.488_reg001
CXCL1_CXCR2	CXCL1	CXCR2	large_intestine	HBM942.WHFC.488_reg001
CXCL2_CXCR2	CXCL2	CXCR2	large_intestine	HBM942.WHFC.488_reg001
CXCL3_CXCR2	CXCL3	CXCR2	large_intestine	HBM942.WHFC.488_reg001
CXCL5_CXCR2	CXCL5	CXCR2	large_intestine	HBM942.WHFC.488_reg001
CXCL6_CXCR2	CXCL6	CXCR2	large_intestine	HBM942.WHFC.488_reg001
CXCL8_CXCR2	CXCL8	CXCR2	large_intestine	HBM942.WHFC.488_reg001
CXCL11_CXCR3	CXCL11	CXCR3	large_intestine	HBM942.WHFC.488_reg001
CXCL11_ACKR3	CXCL11	ACKR3	large_intestine	HBM942.WHFC.488_reg001
CXCL12_CXCR4	CXCL12	CXCR4	large_intestine	HBM942.WHFC.488_reg001
CXCL14_CXCR4	CXCL14	CXCR4	large_intestine	HBM942.WHFC.488_reg001
CXCL16_CXCR6	CXCL16	CXCR6	large_intestine	HBM942.WHFC.488_reg001
C1QL1_ADGRB3	C1QL1	ADGRB3	large_intestine	HBM942.WHFC.488_reg001
C1QL3_ADGRB3	C1QL3	ADGRB3	large_intestine	HBM942.WHFC.488_reg001
C1QL4_ADGRB3	C1QL4	ADGRB3	large_intestine	HBM942.WHFC.488_reg001
C5_C5AR2	C5	C5AR2	large_intestine	HBM942.WHFC.488_reg001
C5_C5AR1	C5	C5AR1	large_intestine	HBM942.WHFC.488_reg001
CRH_CRHR2	CRH	CRHR2	large_intestine	HBM942.WHFC.488_reg001
UCN_CRHR2	UCN	CRHR2	large_intestine	HBM942.WHFC.488_reg001
UCN2_CRHR2	UCN2	CRHR2	large_intestine	HBM942.WHFC.488_reg001
UCN3_CRHR2	UCN3	CRHR2	large_intestine	HBM942.WHFC.488_reg001
CSF1_CSF1R	CSF1	CSF1R	large_intestine	HBM942.WHFC.488_reg001
IL34_CSF1R	IL34	CSF1R	large_intestine	HBM942.WHFC.488_reg001
CSF3_CSF3R	CSF3	CSF3R	large_intestine	HBM942.WHFC.488_reg001
DHH_HHIP	DHH	HHIP	large_intestine	HBM942.WHFC.488_reg001
IHH_HHIP	IHH	HHIP	large_intestine	HBM942.WHFC.488_reg001
SHH_HHIP	SHH	HHIP	large_intestine	HBM942.WHFC.488_reg001
EDN1_EDNRA	EDN1	EDNRA	large_intestine	HBM942.WHFC.488_reg001
EDN2_EDNRA	EDN2	EDNRA	large_intestine	HBM942.WHFC.488_reg001
EDN3_EDNRA	EDN3	EDNRA	large_intestine	HBM942.WHFC.488_reg001
EDN1_EDNRB	EDN1	EDNRB	large_intestine	HBM942.WHFC.488_reg001
EDN2_EDNRB	EDN2	EDNRB	large_intestine	HBM942.WHFC.488_reg001
EDN3_EDNRB	EDN3	EDNRB	large_intestine	HBM942.WHFC.488_reg001
EFNA1_EPHA1	EFNA1	EPHA1	large_intestine	HBM942.WHFC.488_reg001
EFNA2_EPHA1	EFNA2	EPHA1	large_intestine	HBM942.WHFC.488_reg001
EFNA3_EPHA1	EFNA3	EPHA1	large_intestine	HBM942.WHFC.488_reg001
EFNA4_EPHA1	EFNA4	EPHA1	large_intestine	HBM942.WHFC.488_reg001
EFNA5_EPHA1	EFNA5	EPHA1	large_intestine	HBM942.WHFC.488_reg001
EFNA1_EPHA2	EFNA1	EPHA2	large_intestine	HBM942.WHFC.488_reg001
EFNA2_EPHA2	EFNA2	EPHA2	large_intestine	HBM942.WHFC.488_reg001
EFNA3_EPHA2	EFNA3	EPHA2	large_intestine	HBM942.WHFC.488_reg001
EFNA4_EPHA2	EFNA4	EPHA2	large_intestine	HBM942.WHFC.488_reg001
EFNA5_EPHA2	EFNA5	EPHA2	large_intestine	HBM942.WHFC.488_reg001
EFNB1_EPHA2	EFNB1	EPHA2	large_intestine	HBM942.WHFC.488_reg001
EFNA1_EPHA3	EFNA1	EPHA3	large_intestine	HBM942.WHFC.488_reg001
EFNA2_EPHA3	EFNA2	EPHA3	large_intestine	HBM942.WHFC.488_reg001
EFNA3_EPHA3	EFNA3	EPHA3	large_intestine	HBM942.WHFC.488_reg001
EFNA4_EPHA3	EFNA4	EPHA3	large_intestine	HBM942.WHFC.488_reg001
EFNA5_EPHA3	EFNA5	EPHA3	large_intestine	HBM942.WHFC.488_reg001
EFNA1_EPHA4	EFNA1	EPHA4	large_intestine	HBM942.WHFC.488_reg001
EFNA2_EPHA4	EFNA2	EPHA4	large_intestine	HBM942.WHFC.488_reg001
EFNA3_EPHA4	EFNA3	EPHA4	large_intestine	HBM942.WHFC.488_reg001
EFNA4_EPHA4	EFNA4	EPHA4	large_intestine	HBM942.WHFC.488_reg001
EFNA5_EPHA4	EFNA5	EPHA4	large_intestine	HBM942.WHFC.488_reg001
EFNB1_EPHA4	EFNB1	EPHA4	large_intestine	HBM942.WHFC.488_reg001
EFNB2_EPHA4	EFNB2	EPHA4	large_intestine	HBM942.WHFC.488_reg001
EFNB3_EPHA4	EFNB3	EPHA4	large_intestine	HBM942.WHFC.488_reg001
EFNA1_EPHA5	EFNA1	EPHA5	large_intestine	HBM942.WHFC.488_reg001
EFNA2_EPHA5	EFNA2	EPHA5	large_intestine	HBM942.WHFC.488_reg001
EFNA3_EPHA5	EFNA3	EPHA5	large_intestine	HBM942.WHFC.488_reg001
EFNA4_EPHA5	EFNA4	EPHA5	large_intestine	HBM942.WHFC.488_reg001
EFNA5_EPHA5	EFNA5	EPHA5	large_intestine	HBM942.WHFC.488_reg001
EFNA1_EPHA7	EFNA1	EPHA7	large_intestine	HBM942.WHFC.488_reg001
EFNA2_EPHA7	EFNA2	EPHA7	large_intestine	HBM942.WHFC.488_reg001
EFNA3_EPHA7	EFNA3	EPHA7	large_intestine	HBM942.WHFC.488_reg001
EFNA4_EPHA7	EFNA4	EPHA7	large_intestine	HBM942.WHFC.488_reg001
EFNA5_EPHA7	EFNA5	EPHA7	large_intestine	HBM942.WHFC.488_reg001
EFNA5_EPHB2	EFNA5	EPHB2	large_intestine	HBM942.WHFC.488_reg001
EFNB1_EPHB2	EFNB1	EPHB2	large_intestine	HBM942.WHFC.488_reg001
EFNB2_EPHB2	EFNB2	EPHB2	large_intestine	HBM942.WHFC.488_reg001
EFNB3_EPHB2	EFNB3	EPHB2	large_intestine	HBM942.WHFC.488_reg001
EFNB1_EPHB1	EFNB1	EPHB1	large_intestine	HBM942.WHFC.488_reg001
EFNB2_EPHB1	EFNB2	EPHB1	large_intestine	HBM942.WHFC.488_reg001
EFNB3_EPHB1	EFNB3	EPHB1	large_intestine	HBM942.WHFC.488_reg001
EFNB1_EPHB3	EFNB1	EPHB3	large_intestine	HBM942.WHFC.488_reg001
EFNB2_EPHB3	EFNB2	EPHB3	large_intestine	HBM942.WHFC.488_reg001
EFNB3_EPHB3	EFNB3	EPHB3	large_intestine	HBM942.WHFC.488_reg001
EFNB1_EPHB4	EFNB1	EPHB4	large_intestine	HBM942.WHFC.488_reg001
EFNB2_EPHB4	EFNB2	EPHB4	large_intestine	HBM942.WHFC.488_reg001
EFNB3_EPHB4	EFNB3	EPHB4	large_intestine	HBM942.WHFC.488_reg001
EFNB1_EPHB6	EFNB1	EPHB6	large_intestine	HBM942.WHFC.488_reg001
EFNB2_EPHB6	EFNB2	EPHB6	large_intestine	HBM942.WHFC.488_reg001
EFNB3_EPHB6	EFNB3	EPHB6	large_intestine	HBM942.WHFC.488_reg001
AREG_EGFR	AREG	EGFR	large_intestine	HBM942.WHFC.488_reg001
BTC_EGFR	BTC	EGFR	large_intestine	HBM942.WHFC.488_reg001
EGF_EGFR	EGF	EGFR	large_intestine	HBM942.WHFC.488_reg001
EPGN_EGFR	EPGN	EGFR	large_intestine	HBM942.WHFC.488_reg001
EREG_EGFR	EREG	EGFR	large_intestine	HBM942.WHFC.488_reg001
HBEGF_EGFR	HBEGF	EGFR	large_intestine	HBM942.WHFC.488_reg001
TGFA_EGFR	TGFA	EGFR	large_intestine	HBM942.WHFC.488_reg001
BTC_ERBB3	BTC	ERBB3	large_intestine	HBM942.WHFC.488_reg001
NRG1_ERBB3	NRG1	ERBB3	large_intestine	HBM942.WHFC.488_reg001
NRG2_ERBB3	NRG2	ERBB3	large_intestine	HBM942.WHFC.488_reg001
BTC_ERBB4	BTC	ERBB4	large_intestine	HBM942.WHFC.488_reg001
EREG_ERBB4	EREG	ERBB4	large_intestine	HBM942.WHFC.488_reg001
HBEGF_ERBB4	HBEGF	ERBB4	large_intestine	HBM942.WHFC.488_reg001
NRG1_ERBB4	NRG1	ERBB4	large_intestine	HBM942.WHFC.488_reg001
NRG2_ERBB4	NRG2	ERBB4	large_intestine	HBM942.WHFC.488_reg001
NRG4_ERBB4	NRG4	ERBB4	large_intestine	HBM942.WHFC.488_reg001
HBEGF_ERBB2	HBEGF	ERBB2	large_intestine	HBM942.WHFC.488_reg001
FCER2_CR2	FCER2	CR2	large_intestine	HBM942.WHFC.488_reg001
FCER2_FGFR2	FCER2	FGFR2	large_intestine	HBM942.WHFC.488_reg001
FGF10_FGFR2	FGF10	FGFR2	large_intestine	HBM942.WHFC.488_reg001
FGF2_FGFR2	FGF2	FGFR2	large_intestine	HBM942.WHFC.488_reg001
FGF22_FGFR2	FGF22	FGFR2	large_intestine	HBM942.WHFC.488_reg001
FGF7_FGFR2	FGF7	FGFR2	large_intestine	HBM942.WHFC.488_reg001
FGF2_FGFR1	FGF2	FGFR1	large_intestine	HBM942.WHFC.488_reg001
FGF4_FGFR1	FGF4	FGFR1	large_intestine	HBM942.WHFC.488_reg001
FGF5_FGFR1	FGF5	FGFR1	large_intestine	HBM942.WHFC.488_reg001
FGF6_FGFR1	FGF6	FGFR1	large_intestine	HBM942.WHFC.488_reg001
NCAM1_FGFR1	NCAM1	FGFR1	large_intestine	HBM942.WHFC.488_reg001
FGF17_FGFR3	FGF17	FGFR3	large_intestine	HBM942.WHFC.488_reg001
FGF2_FGFR3	FGF2	FGFR3	large_intestine	HBM942.WHFC.488_reg001
FGF9_FGFR3	FGF9	FGFR3	large_intestine	HBM942.WHFC.488_reg001
FGF2_FGFR4	FGF2	FGFR4	large_intestine	HBM942.WHFC.488_reg001
FGL1_LAG3	FGL1	LAG3	large_intestine	HBM942.WHFC.488_reg001
NCAM1_AGRN	NCAM1	AGRN	large_intestine	HBM942.WHFC.488_reg001
FLRT1_ADGRL1	FLRT1	ADGRL1	large_intestine	HBM942.WHFC.488_reg001
FLRT2_ADGRL1	FLRT2	ADGRL1	large_intestine	HBM942.WHFC.488_reg001
NRXN1_ADGRL1	NRXN1	ADGRL1	large_intestine	HBM942.WHFC.488_reg001
NRXN2_ADGRL1	NRXN2	ADGRL1	large_intestine	HBM942.WHFC.488_reg001
NRXN3_ADGRL1	NRXN3	ADGRL1	large_intestine	HBM942.WHFC.488_reg001
TENM1_ADGRL1	TENM1	ADGRL1	large_intestine	HBM942.WHFC.488_reg001
